título,preço,condomínio,iptu,área,quartos,banheiros,vagas,url,latitude,longitude,bairro
"Apartamento na Rua João Cardoso Aíres, 41, Boa Viagem em Recife, por R$ 380.000 - Viva Real",R$ 380.000,R$ 750,R$ 1.200,106,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-boa-viagem-bairros-recife-com-garagem-106m2-venda-RS380000-id-95300059/,-8.143975,-34.905113,Boa Viagem
"Apartamento na Rua Irapuã, 330, Ipsep em Recife, por R$ 130.000 - Viva Real",R$ 130.000,R$ 85,,55,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-ipsep-bairros-recife-com-garagem-55m2-venda-RS130000-id-85682257/,-8.10749,-34.92096,Ipsep
"Apartamento 112 m² na Madalena em Recife, por R$ 350.000 - Viva Real",R$ 350.000,R$ 750,R$ 1.200,112,3,2,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-madalena-bairros-recife-com-garagem-112m2-venda-RS350000-id-84026253/,-8.051982,-34.910255,Madalena
"Apartamento na Avenida Sul Governador Cid Sampaio, 5095, Afogados em Recife, por R$ 220.000 - Viva Real",R$ 220.000,R$ 250,,45,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-afogados-bairros-recife-com-garagem-45m2-venda-RS220000-id-88783606/,-8.077032,-34.909175,Afogados
"Apartamento 312 m² na Jaqueira em Recife, por R$ 2.800.000 - Viva Real",R$ 2.800.000,R$ 1.400,,312,5,7,4,https://www.vivareal.com.br/imovel/apartamento-5-quartos-jaqueira-bairros-recife-com-garagem-312m2-venda-RS2800000-id-83483627/,-8.035349,-34.905491,Jaqueira
"Apartamento na Avenida Boa Viagem, 462, Pina em Recife, por R$ 2.200.000 - Viva Real",R$ 2.200.000,R$ 1.750,R$ 620,175,3,4,3,https://www.vivareal.com.br/imovel/apartamento-3-quartos-pina-bairros-recife-com-garagem-175m2-venda-RS2200000-id-84531914/,-8.095771,-34.883192,Pina
"Apartamento 155 m² na Parnamirim em Recife, por R$ 900.000 - Viva Real",R$ 900.000,R$ 840,R$ 3.580,155,3,5,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-parnamirim-bairros-recife-com-garagem-155m2-venda-RS900000-id-82272615/,-8.03,-34.908789,Parnamirim
"Apartamento na Rua Conde de Irajá, 544, Torre em Recife, por R$ 350.000 - Viva Real",R$ 350.000,,,63,3,3,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-torre-bairros-recife-com-garagem-63m2-venda-RS350000-id-94410239/,-8.046106,-34.908567,Torre
"Apartamento na Estrada do Frio, 00, Mirueira em Paulista, por R$ 165.750 - Viva Real",R$ 165.750,R$ 160,,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-mirueira-bairros-paulista-com-garagem-52m2-venda-RS165750-id-95089380/,-7.948033,-34.883002,Mirueira
"Apartamento 100 m² na Areias em Recife, por R$ 336.000 - Viva Real",R$ 336.000,,,100,3,1,2,https://www.vivareal.com.br/imovel/apartamento-3-quartos-areias-bairros-recife-com-garagem-100m2-venda-RS336000-id-93714571/,-8.096841,-34.938622,Areias
"Apartamento na Rua Jorge de Lima, 245, Imbiribeira em Recife, por R$ 341.000 - Viva Real",R$ 341.000,R$ 380,,63,3,1,1,https://www.vivareal.com.br/imovel/apartamento-3-quartos-imbiribeira-bairros-recife-com-garagem-63m2-venda-RS341000-id-75795648/,-8.109788,-34.906507,Imbiribeira
"Apartamento 41 m² em Bela Vista em Vitória de Santo Antão, por R$ 104.000 - Viva Real",R$ 104.000,,,41,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-bela-vista-bairros-vitoria-de-santo-antao-com-garagem-41m2-venda-RS104000-id-85838958/,,,Bela Vista
"Apartamento 52 m² em Forte Orange em Ilha de Itamaracá, por R$ 150.000 - Viva Real",R$ 150.000,R$ 350,,52,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-forte-orange-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS150000-id-81741011/,-7.792226,-34.841537,Forte Orange
"Apartamento 43 m² em Forte Orange em Ilha de Itamaracá, por R$ 139.000 - Viva Real",R$ 139.000,,,43,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-forte-orange-bairros-ilha-de-itamaraca-com-garagem-43m2-venda-RS139000-id-72731097/,-7.792226,-34.841537,Forte Orange
"Apartamento 49 m² na Centro em Ilha de Itamaracá, por R$ 140.000 - Viva Real",R$ 140.000,,,49,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-ilha-de-itamaraca-com-garagem-49m2-venda-RS140000-id-67376018/,-7.738935,-34.82954,Centro
"Apartamento 62 m² em Loteamento Praia do Sossego em Ilha de Itamaracá, por R$ 200.000 - Viva Real",R$ 200.000,R$ 250,,62,2,2,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-loteamento-praia-do-sossego-bairros-ilha-de-itamaraca-com-garagem-62m2-venda-RS200000-id-86619556/,-7.764966,-34.829266,Loteamento Praia do Sossego
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 290.000 - Viva Real",R$ 290.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS290000-id-90441666/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 290.000 - Viva Real",R$ 290.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS290000-id-90441668/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 290.000 - Viva Real",R$ 290.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS290000-id-90441667/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 285.000 - Viva Real",R$ 285.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS285000-id-89883467/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 285.000 - Viva Real",R$ 285.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS285000-id-89883459/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 285.000 - Viva Real",R$ 285.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS285000-id-89883458/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 230.000 - Viva Real",R$ 230.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS230000-id-94508592/,-7.713269,-34.834481,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 230.000 - Viva Real",R$ 230.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS230000-id-94508588/,-7.713269,-34.834481,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 230.000 - Viva Real",R$ 230.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS230000-id-94508590/,-7.713269,-34.834481,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 210.000 - Viva Real",R$ 210.000,R$ 500,R$ 100,52,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-52m2-venda-RS210000-id-94508586/,-7.713269,-34.834481,Lot. Enseada dos Golfinhos
"Apartamento na Rua Paranatama, 30, Lot. Enseada dos Golfinhos em Ilha de Itamaracá, por R$ 310.000 - Viva Real",R$ 310.000,R$ 500,R$ 130,56,2,1,1,https://www.vivareal.com.br/imovel/apartamento-2-quartos-lot-enseada-dos-golfinhos-bairros-ilha-de-itamaraca-com-garagem-56m2-venda-RS310000-id-90441469/,-7.712946,-34.83536,Lot. Enseada dos Golfinhos
